"make","model","raw_n","ave_year","weighted_n","co2_gpm","mpg_city","mpg_highway","weight_unladen"
"Hyundai","Sonata Hybrid",3,2012,1246.49471,246.861111111111,34,39,NA
"Geo","Prizm",5,1996,1246.03222,335.47792022792,24,31,2364.5
"BMW","X5",11,2013,1239.4662,512.5,14.9384,21.7037,5280
"Subaru","WRX",4,2017,1234.73312,NA,NA,NA,NA
"Cadillac","XT5",4,2018,1222.70002,405,19.3338,26.2106,4113
"Mercury","Milan",8,2009,1217.4856,386.391304347826,20,28,3211
"Mazda","Tribute",6,2003,1217.17404,447.151021493127,18,23,3373.5
"Toyota","Prius Plug-In",8,2016,1214.67491,NA,NA,NA,NA
"Honda","Insight",8,2010,1213.09597,216.756097560976,40,43,2725
"Audi","SQ5",2,2016,1209.74215,NA,NA,NA,NA
"Subaru","Other",3,2006,1199.13665,NA,NA,NA,NA
"Mercedes-Benz","GL",3,2012,1156.08194,NA,NA,NA,NA
"Dodge","Neon",5,2003,1150.80303,355.48,22,29,2639
"Ford","Freestar",4,2005,1126.29212,493.722222222222,16,21.5,4177.5
"Mazda","Mazda2",5,2012,1121.49229,291.455376344086,28.4808,33.6183,2306
"Honda","Accord Crosstour",3,2010,1097.76076,433.770238095238,17.5,26,3887
"BMW","7 Series",4,2006,1091.69441,524.579861111111,14,22,4552
"Toyota","Avalon Hybrid",4,2015,1087.71039,NA,NA,NA,NA
"Cadillac","ATS",3,2015,1087.24506,NA,NA,NA,NA
"Lexus","LX",3,2006,1073.91627,NA,NA,NA,NA
"Ford","Ecosport",3,2018,1073.37649,NA,NA,NA,3190
"Oldsmobile","Intrigue",3,2000,1070.51448,444.35,17,26,3455
"BMW","X1",6,2016,1069.52848,349,21.9462,31.166,3660
"GMC","Step Van",2,1998,1053.51476,NA,NA,NA,NA
"Chevrolet","Monte Carlo",10,1999,1053.40353,NA,NA,NA,NA
"Audi","A8",3,2002,1052.31171,NA,NA,NA,NA
"Chevrolet","Bolt",3,2018,1050.19478,0,NA,NA,3563
"Lincoln","MKS",2,2013,1049.29245,NA,NA,NA,NA
"Dodge","Avenger",8,2010,1044.15827,NA,NA,NA,NA
